id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
66,179.04840000000002,179.0634,myo-Inositol,207.0752716064453,179.0559,36e82fa7-6e54-4d7a-aa41-f304dd8fde84
68,180.0589,180.07389999999998,L-Tyrosine,242.23553466796875,180.0664,5d0ced3f-6d5f-4d2d-87d4-cd083df342c9
69,181.0426,181.05759999999998,Homovanillic acid,274.9016418457031,181.0501,ea1240e9-67a1-42cd-acfb-7b6ac72b67aa
70,182.038,182.053,4-Pyridoxic acid,258.7173767089844,182.0455,08ed64e6-87f0-4f72-9118-6b94dbf19e22
71,182.05100000000002,182.066,Phosphorylcholine,358.6360778808594,182.0585,b998ebcd-c2af-4ae2-a447-05d71b790b2a
72,183.9942,184.0092,Phosphoserine,202.38595581054688,184.0017,9f0db99e-aac1-40e5-b579-4f55ebdc8680
73,184.9776,184.99259999999998,3-Phosphoglyceric acid,371.909912109375,184.9851,fe9baba7-e276-4454-a447-0c7149598945
78,191.01170000000002,191.0267,Citric acid,1491.0028076171875,191.0192,35dbfa2d-ddc9-420f-9c97-406b721c5db6
83,198.99360000000001,199.0086,D-Erythrose 4-phosphate,231.624267578125,199.0011,d2ca3e30-a949-443b-b44f-9456e0c51e00
84,199.9615,199.9765,Cysteine-S-sulfate,213.77903747558594,199.969,6d9b1841-7426-4ace-986b-bbf652ce9ede
86,203.0749,203.0899,L-Tryptophan,270.2806091308594,203.0824,24a52756-09db-4c96-86c9-80c4a0f085cb
90,214.0405,214.0555,Glycerylphosphorylethanolamine,2123.6416015625,214.048,81df56e1-973b-4bc6-96b5-d7f07ffd1d3a
91,215.0247,215.03969999999998,D-Glucose,444.45611572265625,215.0322,c9382001-c90b-4739-9d6c-d1b53acb8897
94,225.0916,225.1066,Carnosine,258.3953857421875,225.0991,d1747389-01ab-4aff-86fe-c570fabf63ba
95,229.0041,229.01909999999998,D-Ribose 5-phosphate,159.44532775878906,229.0116,fd1bdb07-54ab-4b0d-ae76-1b9e93c33ccd
96,239.107,239.12199999999999,Homocarnosine,281.5968017578125,239.1145,3550b231-1a90-408d-b2b9-201fd6ae99cf
99,256.0877,256.10269999999997,Glycerophosphocholine,241.9037322998047,256.0952,589c1785-bdac-4863-b689-789a7b590c72
103,267.0654,267.0804,Inosine,546.3139038085938,267.0729,ce22b417-e0f9-405c-9765-3dc5d5dbbc2d
104,279.2249,279.2399,Linoleic acid,2581.52099609375,279.2324,1d6089d8-737c-49e0-bd87-b7d37fef737a
105,281.24060000000003,281.2556,Oleic acid,21543.109375,281.2481,42e9a61d-bb95-45ce-a2a2-c03619e90112
