Name,Chemical formula,m/z,HMDB,KEGG,PubChem,ChEBI,MetLin,Chemical sub class,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,spec_id
Indoleacetaldehyde,C10H9NO,158.0609,HMDB0001190,C00637,800,18086,6068,Simple indole alkaloids,,,,,30f85801-0617-4300-b599-a15c1dff82f4
D-Alanyl-D-alanine,C6H12N2O3,159.0772,HMDB0003459,C00993,5460362,16576,6937,Dipeptides,,,,,31ebd295-1c2a-47cf-995e-49a4ece4bdef
Trichloroacetic acid,C2HCl3O2,161.9042,HMDB0042048,C11150,6421,30956,-,,,,,,3268eada-489a-4281-9f8c-fb4206eb3baa
Methionine sulfoxide,C5H11NO3S,164.0385,HMDB0002005,C02989,158980,17016,6428,Amino acids,,,,,34e3296e-8193-4ac1-87af-f5d4cd09a6ad
Taurocyamine,C3H9N3O3S,166.0289,HMDB0003584,C01959,68340,17228,6962,Sulfonic acids,,,,,377396b5-6b87-487d-b4f9-91372264b9ea
3-Methoxytyramine,C9H13NO2,166.0868,HMDB0000022,C05587,1669,742324,5094,Phenylethylamines,,,,,3860d7ad-078d-4436-bdb8-c632ae6fa2ae
Phosphoenolpyruvic acid,C3H5O6P,166.9748,HMDB0000263,C00074,1005,44897,5264,Short-chain acids,,,,,38df193c-0908-4a17-aa23-be30699e7322
Uracil,C4H4N2O2,111.0195,HMDB0000300,C00106,1174,17568,258,Other pyrimidines,,,,,3962ad7b-6b3c-4a0b-bcbb-78ecf3357951
3_4-Dihydroxybenzeneacetic acid,C8H8O4,167.0344,HMDB0001336,C01161,547,41941,6170,Phenolic acids,,,,,39a56759-1ddc-47a9-8c2b-77750f797a46
Cysteic acid,C3H7NO5S,167.997,HMDB0002757,C00506,25701,21260,332,,,,,,3a31ca24-1e6b-4d23-ab29-32ca6f4af1d2
Glycerol 3-phosphate,C3H9O6P,171.0059,HMDB0000126,C00093,439162,15978,5161,Organic phosphoric acids,,,,,3a517990-5869-4b04-bfed-1bc5e2ac9750
N-Acetyl-Leu,C8H15NO3,172.0977,HMDB0011756,C02710,70912,17786,-,Amino acids,,,,,3ae0fae0-f788-4b42-9535-18a6e69da09c
cis-Aconitic acid,C6H6O6,173.0086,HMDB0000072,C00417,643757,32805,5130,TCA acids,,,,,3e25feb4-7d29-495a-80a4-9457420de126
N-Acetylasparagine,C6H10N2O4,173.0565,HMDB0006028,-,99715,-,-,Amino acids,,,,,3ed0c41c-2971-4dce-afea-0c9c586fde27
L-Arginine,C6H14N4O2,173.1039,HMDB0000517,C00062,6322,16467,5502,Amino acids,,,,,3efc040a-f2ea-4eb1-a30d-04d12321970c
Phenol sulphate,C6H6O4S,173.9987,HMDB0060015,C02180,74426,27905,-,Phenolic acids,,,,,3fbfb5b5-18d4-4234-95b9-034a3524038b
N-Acetyl-L-aspartic acid,C6H9NO5,174.0402,HMDB0000812,C01042,65065,21547,5776,Amino acids,,,,,401533a8-5f03-4bc9-a659-b5959ad885b9
hydroxyvalerylglycine,C7H13NO4,174.077,HMDB0094717,-,79198664,-,-,,,,,,401f9172-c128-431f-b2a1-1186c6ccdb14
Citrulline,C6H13N3O3,174.0879,HMDB0000904,C00327,9750,16349,16,Amino acids,,,,,40f27ad4-e9f0-4cd4-a7d0-80f6019a8785
Ascorbic acid,C6H8O6,175.0243,HMDB0000044,C00072,54670067,29073,3753,Gamma butyrolactones,,,,,41696705-3102-437f-92d7-a56c69b4fd07
Alanylserine,C6H12N2O4,175.0722,HMDB0028696,-,1549432,73394,-,Dipeptides,,,,,4170a72c-830b-485e-b03c-54986901bc49
N-Formyl-L-methionine,C6H11NO3S,176.0384,HMDB0001015,C03145,439750,16552,5945,Amino acids,,,,,417d5a2f-1505-4cbe-b8fc-dbecde12e3da
L-Gulonolactone,C6H10O6,177.0402,HMDB0003466,C01040,439373,17587,-,Gamma butyrolactones,,,,,429e390d-5699-4b0b-a078-1f190fe83dd8
Hippuric acid,C9H9NO3,178.0508,HMDB0000714,C01586,464,18089,1301,Phenolic acids,,,,,429ea018-0508-4bb5-a54a-f858b8f93276
4-Hydroxyphenylpyruvic acid,C9H8O4,179.0348,HMDB0000707,C01179,979,15999,5675,Cinnamic acids,,,,,435b8000-fd03-41b8-b4f7-9437073132e4
myo-Inositol,C6H12O6,179.0559,HMDB0000211,C00137,-,17268,5221,,,,,,447d1f1f-1771-485a-933f-ee807559dca5
3-Methoxyphenylacetic acid,C9H10O3,165.0552,HMDB0059969,-,15719,-,-,,,,,,454afcf9-0f71-4fd0-bb7b-e49bb8ebc07a
L-Tyrosine,C9H11NO3,180.0664,HMDB0000158,C00082,6057,17895,34,Amino acids,,,,,47e03856-3245-4a32-b692-4aefb7694447
Homovanillic acid,C9H10O4,181.0501,HMDB0000118,C05582,1738,545959,971,Phenolic acids,,,,,486ab5b1-51b6-4258-bce3-a673068bc140
4-Pyridoxic acid,C8H9NO4,182.0455,HMDB0000017,C00847,6723,17405,239,Nicotinic acid alkaloids,,,,,4886ee0d-11dc-413f-b3de-f68d657cb699
Phosphorylcholine,C5H14NO4P,182.0585,HMDB0001565,C00588,1014,18132,6326,Cholines,,,,,48c0c127-1ecf-4c28-9d7b-8819636051b7
Phosphoserine,C3H8NO6P,184.0017,HMDB0000272,C01005,68841,15811,5270,Amino acids,,,,,48fe8f69-5d69-4fa4-a6e9-83917b0f0317
3-Phosphoglyceric acid,C3H7O7P,184.9851,HMDB0000807,C00597,724,17050,150,,,,,,51407898-7770-4f7f-a6d7-1f88e8a1ea52
N-Acetylglutamine,C7H12N2O4,187.0721,HMDB0006029,-,182230,21553,-,Amino acids,,,,,51f875c3-91a6-4688-8857-ccd6bbaf19a3
p-Cresol sulfate,C7H8O4S,188.0143,HMDB0011635,-,4615423,82914,-,,,,,,538fcca2-7c4c-4ba1-930a-9feb24ed9b70
Kynurenic acid,C10H7NO3,188.0351,HMDB0000715,C01717,3845,18344,5683,Acridone alkaloids,,,,,53d056c3-180f-4abd-9d0a-3216c0b76c3b
N-Acetyl-L-methionine,C7H13NO3S,190.0541,HMDB0011745,C02712,448580,21557,-,Amino acids,,,,,55cfb7f0-59bb-4b9f-bf9b-1777c2f59633
Citric acid,C6H8O7,191.0192,HMDB0000094,C00158,311,30769,124,TCA acids,,,,,55ff1e81-6b92-4bcf-a1ca-b926750eb8ef
Galacturonic acid,C6H10O7,193.0351,HMDB0002545,C00333,84740,47962,6713,Sugar acids,,,,,571e5cf7-8c15-467b-9281-1cc2134ff3f2
4-Aminohippuric acid,C9H10N2O3,193.0618,HMDB0001867,D06890,2148,104011,6359,Amino acids,,,,,58da9ce7-be57-44e2-8a46-d42b41e10e7c
Gluconic acid,C6H12O7,195.0521,HMDB0000625,C00257,10690,33198,345,Sugar acids,,,,,5b246f58-75cf-4340-b54d-8d7c0a2add7c
O-Phosphohomoserine,C4H10NO6P,198.0171,HMDB0003484,C01102,151187,15961,-,Amino acids,,,,,5c83cfcb-4b74-467e-aefb-624221b9eaf6
D-Erythrose 4-phosphate,C4H9O7P,199.0011,HMDB0001321,C00279,122357,48153,6158,Monosaccharide phosphates,,,,,5cca889f-09fb-4162-939b-b02ae3dae7fe
Cysteine-S-sulfate,C3H7NO5S2,199.969,HMDB0000731,C05824,115015,27891,-,Amino acids,,,,,5e761253-dcdd-4e41-9249-ce220806c7a6
Sebacic acid,C10H18O4,201.113,HMDB0000792,C08277,5192,41865,4240,Dicarboxylic acids,,,,,5ebe984d-670f-4bab-8395-ea648f291266
L-Tryptophan,C11H12N2O2,203.0824,HMDB0000929,C00078,6305,16828,5879,Amino acids,,,,,6268a5a9-a976-472a-ba35-83c0c341b820
N-Acetyl-L-phenylalanine,C11H13NO3,206.0821,HMDB0000512,C03519,74839,16259,5498,Amino acids,,,,,6278bdab-b901-40ee-add9-fe665dcd8990
3-Phosphoglyceric acid,C3H7O7P,184.9854,HMDB0000807,C00597,724,17050,150,,,,,,64544264-90f6-4a16-8f85-2d80aa3e7393
Indoxyl sulfate,C8H7NO4S,212.002,HMDB0000682,-,10258,43355,524,Simple indole alkaloids,,,,,6655239e-8126-4d93-ad30-485d270cff10
Glycerylphosphorylethanolamine,C5H14NO6P,214.048,HMDB0000114,C01233,123874,52330,5151,Organic phosphoric acids,,,,,66bbe6e5-d7d6-4bd9-9ff9-68131d5d7c05
D-Glucose,C6H12O6,215.0322,HMDB0000122,C00031,5793,15903,133,,,,,,678b670b-a14b-4d82-b823-cd9e74f7fb1b
Pantothenic acid,C9H17NO5,218.1031,HMDB0000210,C00864,6613,46905,-,Amino acids,,,,,683a1101-6f18-4a76-ba57-546c2b243828
L-Cystathionine,C7H14N2O4S,221.06,HMDB0000099,C02291,439258,17482,39,Amino acids,,,,,6994adf5-c00f-45a5-87a3-f5ff47bf2798
Carnosine,C9H14N4O3,225.0991,HMDB0000033,C00386,439224,15727,38,Dipeptides,,,,,69f75266-5b4b-4c77-bc3c-0eb3fe35006a
D-Ribose 5-phosphate,C5H11O8P,229.0116,HMDB0001548,C00117,440101,18189,6315,Monosaccharide phosphates,,,,,6a330181-b9b0-474c-bf3f-6bf949b7ce29
Homocarnosine,C10H16N4O3,239.1145,HMDB0000745,C00884,10243361,85981,270,Amino acids,,,,,6a7cb802-66c7-4e85-8926-b1c665aae25e
Uric acid,C5H4N4O3,167.0205,HMDB0000289,C00366,1175,17775,88,Xanthines,,,,,6aab0750-c998-4f60-863b-c4cdfbe01eda
Aspartyl-Aspartate,C8H12N2O7,247.057,HMDB0028749,-,332965,174279,-,Dipeptides,,,,,6ac21877-0743-4b9b-b6ff-ddd597e1d093
Glycerophosphocholine,C8H20NO6P,256.0952,HMDB0000086,C00670,657272,16870,370,Organic phosphoric acids,,,,,6b15dacf-637a-44b2-8065-9dae5672c261
Glucosamine 6-phosphate,C6H14NO8P,258.0381,HMDB0001254,C00352,439217,15873,6111,Amino sugars,,,,,6bd76c09-cd11-49cc-a619-2e71ea78646f
Glucose 6-phosphate,C6H13O9P,259.0219,HMDB0001401,C00092,5958,4170,145,Monosaccharide phosphates,,,,,6c0cda03-372b-496d-8053-2974f2013d25
