id,mz_low,mz_high,Name,root_region_intensity,m/z,spec_id
66,179.04840000000002,179.0634,myo-Inositol,207.0752716064453,179.0559,3268eada-489a-4281-9f8c-fb4206eb3baa
68,180.0589,180.07389999999998,L-Tyrosine,242.23553466796875,180.0664,81e0733b-d96b-4268-b58a-44d78de5ed0f
69,181.0426,181.05759999999998,Homovanillic acid,274.9016418457031,181.0501,045140d8-52aa-48b0-8bd4-2713f189a7c5
70,182.038,182.053,4-Pyridoxic acid,258.7173767089844,182.0455,fab6825a-09a7-4808-a2de-0575df16f18e
71,182.05100000000002,182.066,Phosphorylcholine,358.6360778808594,182.0585,6278bdab-b901-40ee-add9-fe665dcd8990
72,183.9942,184.0092,Phosphoserine,202.38595581054688,184.0017,6ac21877-0743-4b9b-b6ff-ddd597e1d093
73,184.9776,184.99259999999998,3-Phosphoglyceric acid,371.909912109375,184.9851,2dc07c68-e6eb-44ea-8f7b-b883d1ba11ae
73,184.9776,184.99259999999998,3-Phosphoglyceric acid,371.909912109375,184.9854,cb3354ca-dc6c-4ce6-8400-f3401f98044b
78,191.01170000000002,191.0267,Citric acid,1491.0028076171875,191.0192,3e25feb4-7d29-495a-80a4-9457420de126
83,198.99360000000001,199.0086,D-Erythrose 4-phosphate,231.624267578125,199.0011,2b703264-6e28-4487-bcd0-f480c0135252
84,199.9615,199.9765,Cysteine-S-sulfate,213.77903747558594,199.969,4170a72c-830b-485e-b03c-54986901bc49
86,203.0749,203.0899,L-Tryptophan,270.2806091308594,203.0824,dd5828fd-5406-4999-bca3-872b643e27aa
90,214.0405,214.0555,Glycerylphosphorylethanolamine,2123.6416015625,214.048,58da9ce7-be57-44e2-8a46-d42b41e10e7c
91,215.0247,215.03969999999998,D-Glucose,444.45611572265625,215.0322,5c83cfcb-4b74-467e-aefb-624221b9eaf6
94,225.0916,225.1066,Carnosine,258.3953857421875,225.0991,bdc39e3b-5b62-4b0f-a8d5-3bee7716fd19
95,229.0041,229.01909999999998,D-Ribose 5-phosphate,159.44532775878906,229.0116,e1df2140-d01c-4f09-806f-e220f4c7e8ae
96,239.107,239.12199999999999,Homocarnosine,281.5968017578125,239.1145,e6a24399-741b-4eac-b32e-66dc8538de7e
99,256.0877,256.10269999999997,Glycerophosphocholine,241.9037322998047,256.0952,e66c98dd-9c9b-4f8f-9fad-217f0e7fdcd9
103,267.0654,267.0804,Inosine,546.3139038085938,267.0729,e811a5d8-ab4d-487e-9676-097ec346792e
104,279.2249,279.2399,Linoleic acid,2581.52099609375,279.2324,377396b5-6b87-487d-b4f9-91372264b9ea
105,281.24060000000003,281.2556,Oleic acid,21543.109375,281.2481,1f174a94-eb33-4a56-852e-d42af6d210f9
107,283.2562,283.27119999999996,Stearic acid,24143.353515625,283.2637,077fbf65-8680-49c9-884c-89cdf382418e
108,303.2249,303.2399,Arachidonic acid,16392.0625,303.2324,a38fa892-4fff-4b43-9a30-de375e58b4f2
109,306.06850000000003,306.0835,Glutathione,1385.0213623046875,306.076,0d2f98df-90b4-497f-8343-e68814f1c761
110,308.091,308.106,N-Acetylneuraminic acid,386.0782165527344,308.0985,9008a962-5141-4a21-9936-606c14b873d9
111,322.0368,322.0518,Cytidine monophosphate,308.0565185546875,322.0443,064dc6d7-41f6-42ae-8444-d8dedc0c04c7
113,327.2249,327.2399,Docosahexaenoic acid,10642.1435546875,327.2324,6655239e-8126-4d93-ad30-485d270cff10
114,328.0372,328.05219999999997,Cyclic AMP,455.3153381347656,328.0447,0976382f-6764-4510-ab7a-6f5b0fb787d4
115,338.981,338.996,Fructose 1_6-bisphosphate,281.1248474121094,338.9885,efbab067-1512-4b78-888a-ab661ed78dc6
116,346.0478,346.0628,Adenosine monophosphate,3259.97900390625,346.0553,f0a77588-3719-4c27-ab89-8750872e290f
117,347.032,347.04699999999997,Inosinic acid,1332.42431640625,347.0395,bdde127b-2317-428c-a229-0cca870bd1b1
118,362.0427,362.0577,Guanosine monophosphate,593.2916259765625,362.0502,3a517990-5869-4b04-bfed-1bc5e2ac9750
124,409.2285,409.2435,LysoPA(0:0/16:0),569.413818359375,409.236,bd84a5d2-97ad-4595-aae7-c57d8e283640
127,426.0141,426.02909999999997,ADP,686.68505859375,426.0216,9b2af78d-2d48-4771-9f6f-f62543de6b73
128,435.24420000000003,435.2592,LysoPA(0:0/18:1(9Z)),692.4668579101562,435.2517,8d2b463b-f41f-41dd-9e52-9717ffd6dd1d
129,437.2598,437.27479999999997,LysoPA(0:0/18:0),1943.1019287109375,437.2673,83b7bac8-7937-4f63-b996-5e3e9c8dc380
130,442.009,442.024,Guanosine diphosphate,205.00682067871094,442.0165,c727b1c3-1cdb-4319-b7f3-15ca2c36432b
131,445.0451,445.0601,CDP-ethanolamine,129.9181671142578,445.0526,dd1bb3db-7e35-47a5-ba95-4046ac11a29d
133,436.2756,436.2906,LysoPE(P-16:0/0:0),174.26817321777344,436.2831,9bfdecb6-2564-491a-a5c2-daf2af637a05
134,452.27070000000003,452.2857,LysoPE(0:0/16:0),551.244140625,452.2782,79c30cbd-851a-4da7-a40b-7014bc52a222
135,457.2285,457.2435,LysoPA(20:4(8Z_11Z_14Z_17Z)/0:0),238.62159729003906,457.236,5e761253-dcdd-4e41-9249-ce220806c7a6
136,461.2598,461.27479999999997,LysoPA(20:2(11Z_14Z)/0:0),152.88034057617188,461.2673,8e3b3d47-886e-4f17-938e-0d43b3e513f7
137,463.2755,463.2905,LPA(20:1),196.90328979492188,463.283,12fae74f-c8fa-4e58-9094-50e13764cd2b
138,151.0181,151.0331,Xanthine,297.5170593261719,151.0256,f186c173-19f2-448f-b8b1-d005516b8eb9
139,464.3071,464.3221,LysoPE(P-18:0/0:0),253.1893310546875,464.3146,feead47e-382f-421c-902b-b2ae4ed61f18
140,476.27070000000003,476.2857,LysoPE(0:0/18:2(9Z_12Z)),123.15547180175781,476.2782,9c488bbc-db04-44a8-9d1e-8c77894f38be
141,478.2864,478.3014,LysoPE(0:0/18:1(11Z)),1120.241943359375,478.2939,c0624e76-2c7a-42e1-b210-b5b84fceb959
142,480.302,480.317,LysoPE(0:0/18:0),1141.83935546875,480.3095,291bd990-ce9a-49a7-997d-55b26c5f87be
143,481.2285,481.2435,LysoPA(22:6(4Z_7Z_10Z_13Z_16Z_19Z)/0:0),254.84909057617188,481.236,6c0cda03-372b-496d-8053-2974f2013d25
145,137.0276,137.0426,Urocanic acid,352.306884765625,137.0351,9747ce3a-35c6-4cc7-8b73-922cbdc18e48
146,485.2598,485.27479999999997,LysoPA(22:4(7Z_10Z_13Z_16Z)/0:0),144.9684295654297,485.2673,dac936be-ae10-4928-bb3b-507ebdb9f18c
148,365.2253,365.2403,Tetrahydrocortisol,126.4183349609375,365.2328,da024c8a-c2ab-45f2-be65-d0fb1b25ac8a
149,500.27070000000003,500.2857,LysoPE(0:0/20:4(5Z_8Z_11Z_14Z)),876.0260620117188,500.2782,f8572225-a70e-4d8a-8b51-774dfe676d26
151,504.302,504.317,LysoPE(0:0/20:2(11Z_14Z)),110.81153869628906,504.3095,f7ee1dc7-1476-4945-9e30-5cd701e45c58
